state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,income_per_capita,known_property_crimes,unemployment_rate
Oklahoma,2001,623110.0,4257128,419762,2394346,1443020,4288405,2119420,1386368,417849.0,322947,580894.0,41335.14694655506,0.759841797013342,0.2033646557899169,15.124834018539806,37577.47580177744,6458.0559669,0.238,3467100.0,35162,25355,141664.0,0.036500000000000005
Oregon,2001,544756.0,4561948,327582,2565977,1668389,4715944,2435402,1553819,160650.0,419442,483038.0,28102.795836127458,0.7538636474333089,0.25612626192111526,19.461283419850496,31460.315625000003,8545.0376021,0.13699999999999998,3467937.0,37161,28932,163201.0,0.06425
Pennsylvania,2001,1771473.0,17792997,1083862,6305118,10404017,18666522,9182658,5142302,708895.0,1869506,1691123.0,117197.12722151283,0.8107946368409921,0.23021665123893995,15.241047303261391,116981.33443731161,8847.1066073,0.188,12298970.0,42458,31359,271426.0,0.048
Rhode Island,2001,156275.0,1592622,88341,663991,840290,1504125,920848,464571,49573.0,27392,145330.0,12369.824000000002,0.827929198123399,0.26224278742300816,12.848353728099944,8536.774826839088,10115.623734,0.158,1057142.0,41989,31679,35742.0,0.04558333333333333
South Carolina,2001,676681.0,5437615,430966,2924025,2082624,5492539,2660503,1545738,297845.0,843817,628510.0,46485.66400000001,0.7523758003288383,0.21306453996757696,14.907280941661735,32139.859453052733,7210.438735899998,0.212,4064995.0,35902,25527,184518.0,0.05208333333333333
South Dakota,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663,118919.0,9266.3696,0.7863239998770103,0.22474122571392935,13.582416157546243,9260.69374398894,6581.4610304,0.128,757972.0,36327,27832,14104.0,0.03091666666666667
Tennessee,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777,849413.0,57272.371843146306,0.7573846916244166,0.19914071154918978,15.954280664239054,42301.52701737181,6107.5811912,0.175,5750789.000000001,38631,27653,252379.0,0.045750000000000006
Texas,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465,3860613.0,278119.837841824,0.7042996203975109,0.23433630864192126,14.865338538401488,227715.47499999998,7038.5997087,0.305,21319622.000000004,44784,29394,969948.0,0.04958333333333333
Utah,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553,448557.0,22057.573002676185,0.8074375166821928,0.264395338189938,21.93730476405344,31579.865625000002,5029.2517309,0.269,2283715.0,38849,24797,88924.0,0.044083333333333335
Vermont,2001,97715.0,1300273,60383,732580,507310,1306513,595191,303287,28777.0,62053,96996.0,8578.652571428573,0.8389830226304673,0.2946453324487305,11.826604494669203,6813.332009535778,9558.5352498,0.31,612223.0000000001,37618,30505,14924.0,0.03308333333333334
Virginia,2001,1143807.0,9493862,531724,3976620,4985518,9862715,5142049,2865861,378979.0,1113113,1099677.0,95256.89600000001,0.807429677765299,0.29838481668761374,12.43739928716698,67199.91132220607,7664.466668999998,0.18,7198361.999999999,48194,34064,197620.0,0.03233333333333333
Washington,2001,1004843.0,7936037,561773,5032514,2341750,8026334,3984476,2330122,367295.0,1028063,931533.0,51727.33205569565,0.7630552565670017,0.2803359261443018,19.643138431591787,59183.271875,7312.0389896,0.236,5985722.0,48408,33170,281459.0,0.06291666666666668
West Virginia,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916,262581.0,20526.148571428577,0.7898203297612088,0.14835876800068568,13.701369374735238,18719.25991624526,8147.976933399998,0.236,1801481.0,32263,23576,37104.0,0.05025
Wisconsin,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973,821934.0,60163.83870652468,0.8055715254541811,0.22844494778243113,14.587325056401564,59971.44297417368,8797.4071325,0.191,5406835.0,42078,30910,164387.0,0.045250000000000005
