state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
Colorado,2001,723696.0,5372784,292518,2222723,2857543,5727966,2709184,1844900,209212.0,672080,707202.0,,,,,,7081.573580600001,0.201,4425687.0,51113,340039000.0,34931,155117.0,0.03816666666666667
Connecticut,2001,537521.0,6331569,256685,2389572,3685312,5987680,3360042,1748476,231240.0,385785,547194.0,,,,,,10524.539387,0.136,3432835.0,61872,387812000.0,45272,95367.0,0.03116666666666667
Delaware,2001,112055.0,1153831,77483,754926,321422,1175717,613955,349525,45976.0,132922,107730.0,,,,,,9720.0480787,0.23399999999999999,795699.0,71155,158703000.0,37417,27727.0,0.03491666666666667
District of Columbia,2001,68925.0,1042261,114876,0,927385,1026146,412276,394656,35108.0,184106,62681.0,,,,,,13204.286795999999,,578228.0000000001,144598,,44752,36564.0,0.06358333333333331
Florida,2001,2431884.0,18467090,1563902,9120855,7782333,18389394,8412975,5514993,1197780.0,2868679,2326142.0,,,,,,6620.1193868,0.185,16356966.0,39445,1591473000.0,30790,781339.0,0.04633333333333334
Georgia,2001,1444937.0,12271962,758799,5945868,5567295,11853800,6336556,3131291,566956.0,1620496,1379176.0,,,,,,7431.123352,0.28600000000000003,8377038.0,45181,691473000.0,29666,331495.0,0.040333333333333325
Hawaii,2001,184360.0,1682332,140953,1511318,30061,1363164,732512,412203,105505.0,112944,170268.0,,,,,,7106.062144600001,0.198,1225948.0,43778,60499000.0,30356,62830.0,0.04458333333333334
Idaho,2001,243926.0,1571348,123520,964414,483414,1535485,853733,461819,64896.0,124442,231861.0,,,,,,6077.311195800001,0.275,1319962.0000000002,33390,141986000.0,25808,37966.0,0.050916666666666666
Illinois,2001,2025249.0,18534372,1411096,6637462,10485814,19337580,9317202,5702703,664402.0,2637635,1837863.0,,,,,,8658.9753431,0.19699999999999998,12488445.0,48849,2216842000.0,34133,190730.0,0.053250000000000006
Indiana,2001,987854.0,9124748,444861,4590018,4089869,8991877,4364661,2553481,395908.0,832585,931886.0,,,,,,8127.9883224,0.261,6127760.0,40138,825017000.0,28704,181362.0,0.042333333333333334
Iowa,2001,495080.0,4068110,239495,1943702,1884913,4211493,1994331,1171278,271596.0,405205,462276.0,,,,,,7340.2988507,0.191,2931997.0000000005,38988,166745000.0,28276,84539.0,0.033249999999999995
Kansas,2001,468347.0,3681845,238960,2253677,1189208,3491029,1721113,1159966,220701.0,209716,413670.0,,,,,,7680.9914337,0.29,2702162.0000000005,39745,236723000.0,29268,89770.0,0.042083333333333334
Kentucky,2001,643730.0,4536133,446180,2727410,1362543,4350588,2467964,1372283,254444.0,156395,566451.0,,,,,,7173.709013500001,0.2,4068132.0,35497,361390000.0,25535,54357.0,0.051583333333333335
Louisiana,2001,737223.0,4982369,577645,2425436,1979288,4939894,2654239,1457593,316925.0,409235,680122.0,,,,,,6552.8790007,0.19699999999999998,4477875.0,41302,293056000.0,25290,197321.0,0.05741666666666667
Maine,2001,207171.0,1914551,112074,812384,990093,1958646,1118171,513216,79883.0,149225,190477.0,,,,,,8878.908623000001,0.204,1285692.0,36995,96283000.0,28661,33055.0,0.03825
Maryland,2001,852920.0,7864290,467001,2928704,4468585,7981362,4172982,2366854,369293.0,813068,807331.0,,,,,,8833.4624562,0.166,5374691.0,46792,501365000.0,37025,223650.0,0.04008333333333334
Massachusetts,2001,965934.0,10613329,490388,4328575,5794366,10572138,6135199,2711995,338708.0,944333,921266.0,,,,,,10072.966681999998,0.16699999999999998,6397634.0,55114,1211584000.0,39944,162860.0,0.03725
Michigan,2001,1705088.0,16772419,1090642,10480592,5201185,17573761,8136476,5430837,795607.0,2007947,1588300.0,,,,,,9030.595666500001,0.322,9991120.0,40883,2102093000.0,30786,346487.0,0.05175
Minnesota,2001,836386.0,7836617,350797,4694722,2791098,8221636,3981906,2112589,569072.0,964810,818160.0,,,,,,7960.4389359,0.24100000000000002,4982795.999999999,47177,732004000.0,33204,158537.0,0.037750000000000006
Mississippi,2001,496513.0,2823151,385896,1519788,917467,2930393,1548979,847817,190656.0,282202,461951.0,,,,,,5534.7565761999995,0.221,2852994.0,28856,210786000.0,22752,85793.0,0.055333333333333345
Missouri,2001,911673.0,7081783,464119,3272289,3345375,7100685,3659465,2100767,402233.0,715516,843148.0,,,,,,7264.5729623,0.244,5641142.0,41346,236261000.0,28733,224735.0,0.045916666666666675
Montana,2001,154700.0,1139959,128783,537866,473310,1129098,638218,354844,44456.0,73732,136498.0,,,,,,7484.018937100001,0.193,906961.0,32272,103670000.0,24316,18810.0,0.04541666666666667
Nebraska,2001,285331.0,2355374,166068,806280,1383026,2344564,1256013,634842,100439.0,278832,267909.0,,,,,,7688.0348721,0.158,1719836.0,42227,138040000.0,30032,65180.0,0.03133333333333333
Nevada,2001,339451.0,2381897,118318,1438406,825173,2692840,1171360,734647,76426.0,575873,334853.0,,,,,,6150.478032399999,0.177,2098399.0,48733,,32552,77485.0,0.052000000000000005
New Hampshire,2001,204721.0,1757828,76689,884225,796914,1796043,937479,486152,53143.0,166814,199429.0,,,,,,7655.6238501,0.29100000000000004,1255517.0,44540,350363000.0,36820,16026.0,0.03441666666666667
New Jersey,2001,1301195.0,16854895,620507,6617681,9616707,17144456,8782754,5499870,610241.0,1466889,1297217.0,,,,,,11751.943094,0.226,8492671.0,54000,1300785000.0,40585,240277.0,0.042749999999999996
New Mexico,2001,319524.0,2373143,327191,1691663,354289,2315182,1096488,761848,114558.0,308741,320082.0,,,,,,6320.2464813999995,0.243,1831690.0,37915,190673000.0,24613,75983.0,0.04925
New York,2001,2856277.0,34373567,1912495,16032781,16428291,38062603,22052316,9100764,1157116.0,4579196,2610320.0,,,,,,11886.91307,0.205,19082838.0,55375,3199483000.0,37185,405630.0,0.04833333333333333
