"location","indicator","Unit","Date","Value"
"Iowa","Number of Property Crimes Known to Police","numbers","2008","71950"
"Iowa","Number of Property Crimes Known to Police","numbers","2009","70080"
"Iowa","Number of Property Crimes Known to Police","numbers","2010","68740"
"Iowa","Number of Property Crimes Known to Police","numbers","2011","72043"
"Iowa","Number of Property Crimes Known to Police","numbers","2012","70357"
"Iowa","Number of Property Crimes Known to Police","numbers","2013","67976"
"Iowa","Number of Property Crimes Known to Police","numbers","2014","65056"
"Iowa","Number of Property Crimes Known to Police","numbers","2015","5519"
"Iowa","Number of Property Crimes Known to Police","numbers","2016","6761"
"Kansas","Number of Property Crimes Known to Police","numbers","1990","117338"
"Kansas","Number of Property Crimes Known to Police","numbers","1991","122594"
"Kansas","Number of Property Crimes Known to Police","numbers","1992","119488"
"Kansas","Number of Property Crimes Known to Police","numbers","1993","38318"
"Kansas","Number of Property Crimes Known to Police","numbers","1994","26806"
"Kansas","Number of Property Crimes Known to Police","numbers","1995","37864"
