"region","series","Unit","Date","Value"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","158703"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","251643"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","208283"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","217768"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","248869"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","295577"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","302222"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","308676"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","208677"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","142417"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","341965"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","262378"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","309644"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","278872"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","400746"
"Delaware","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","318152"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","695114"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","755900"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","950235"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","944969"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","1007556"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","1232731"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","1271261"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","1266959"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","1182796"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","1591473"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","1218864"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","1226980"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","1441338"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","1785213"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","2405863"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","2442516"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","2208600"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","1836800"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","1793180"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","1869870"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","2003490"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","2071710"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","2043750"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","2237500"
"Florida","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","2272230"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","375286"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","470710"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","521399"
