"region","series","Unit","Date","Value"
"Alabama","Unemployment Rate, SA","%","2015M5","6.2"
"Alabama","Unemployment Rate, SA","%","2015M6","6.2"
"Alabama","Unemployment Rate, SA","%","2015M7","6.1"
"Alabama","Unemployment Rate, SA","%","2015M8","6.1"
"Alabama","Unemployment Rate, SA","%","2015M9","6.1"
"Alabama","Unemployment Rate, SA","%","2015M10","6"
"Alabama","Unemployment Rate, SA","%","2015M11","6"
"Alabama","Unemployment Rate, SA","%","2015M12","6"
"Alabama","Unemployment Rate, SA","%","2016M1","6"
"Alabama","Unemployment Rate, SA","%","2016M2","6"
"Alabama","Unemployment Rate, SA","%","2016M3","5.9"
"Alabama","Unemployment Rate, SA","%","2016M4","5.9"
"Alabama","Unemployment Rate, SA","%","2016M5","5.8"
"Alabama","Unemployment Rate, SA","%","2016M6","5.8"
"Alabama","Unemployment Rate, SA","%","2016M7","5.8"
"Alabama","Unemployment Rate, SA","%","2016M8","5.8"
"Alabama","Unemployment Rate, SA","%","2016M9","5.9"
"Alabama","Unemployment Rate, SA","%","2016M10","5.9"
"Alabama","Unemployment Rate, SA","%","2016M11","5.8"
"Alabama","Unemployment Rate, SA","%","2016M12","5.7"
"Alabama","Unemployment Rate, SA","%","2017M1","5.5"
"Alaska","Unemployment Rate, SA","%","1990M1","7.2"
"Alaska","Unemployment Rate, SA","%","1990M2","7.2"
"Alaska","Unemployment Rate, SA","%","1990M3","7.2"
"Alaska","Unemployment Rate, SA","%","1990M4","7.2"
"Alaska","Unemployment Rate, SA","%","1990M5","7.2"
"Alaska","Unemployment Rate, SA","%","1990M6","7.2"
"Alaska","Unemployment Rate, SA","%","1990M7","7.2"
"Alaska","Unemployment Rate, SA","%","1990M8","7.2"
"Alaska","Unemployment Rate, SA","%","1990M9","7.2"
"Alaska","Unemployment Rate, SA","%","1990M10","7.3"
"Alaska","Unemployment Rate, SA","%","1990M11","7.3"
"Alaska","Unemployment Rate, SA","%","1990M12","7.4"
"Alaska","Unemployment Rate, SA","%","1991M1","7.5"
"Alaska","Unemployment Rate, SA","%","1991M2","7.7"
"Alaska","Unemployment Rate, SA","%","1991M3","7.9"
"Alaska","Unemployment Rate, SA","%","1991M4","8.1"
"Alaska","Unemployment Rate, SA","%","1991M5","8.2"
"Alaska","Unemployment Rate, SA","%","1991M6","8.4"
"Alaska","Unemployment Rate, SA","%","1991M7","8.6"
"Alaska","Unemployment Rate, SA","%","1991M8","8.7"
"Alaska","Unemployment Rate, SA","%","1991M9","8.9"
"Alaska","Unemployment Rate, SA","%","1991M10","9"
"Alaska","Unemployment Rate, SA","%","1991M11","9.2"
"Alaska","Unemployment Rate, SA","%","1991M12","9.3"
"Alaska","Unemployment Rate, SA","%","1992M1","9.3"
"Alaska","Unemployment Rate, SA","%","1992M2","9.3"
"Alaska","Unemployment Rate, SA","%","1992M3","9.3"
"Alaska","Unemployment Rate, SA","%","1992M4","9.2"
"Alaska","Unemployment Rate, SA","%","1992M5","9.1"
"Alaska","Unemployment Rate, SA","%","1992M6","9"
"Alaska","Unemployment Rate, SA","%","1992M7","9"
"Alaska","Unemployment Rate, SA","%","1992M8","8.9"
"Alaska","Unemployment Rate, SA","%","1992M9","8.7"
"Alaska","Unemployment Rate, SA","%","1992M10","8.6"
"Alaska","Unemployment Rate, SA","%","1992M11","8.4"
"Alaska","Unemployment Rate, SA","%","1992M12","8.2"
"Alaska","Unemployment Rate, SA","%","1993M1","8"
"Alaska","Unemployment Rate, SA","%","1993M2","7.9"
"Alaska","Unemployment Rate, SA","%","1993M3","7.8"
"Alaska","Unemployment Rate, SA","%","1993M4","7.7"
"Alaska","Unemployment Rate, SA","%","1993M5","7.7"
"Alaska","Unemployment Rate, SA","%","1993M6","7.7"
"Alaska","Unemployment Rate, SA","%","1993M7","7.7"
"Alaska","Unemployment Rate, SA","%","1993M8","7.6"
"Alaska","Unemployment Rate, SA","%","1993M9","7.6"
"Alaska","Unemployment Rate, SA","%","1993M10","7.6"
"Alaska","Unemployment Rate, SA","%","1993M11","7.6"
"Alaska","Unemployment Rate, SA","%","1993M12","7.6"
"Alaska","Unemployment Rate, SA","%","1994M1","7.6"
"Alaska","Unemployment Rate, SA","%","1994M2","7.7"
"Alaska","Unemployment Rate, SA","%","1994M3","7.7"
"Alaska","Unemployment Rate, SA","%","1994M4","7.8"
"Alaska","Unemployment Rate, SA","%","1994M5","7.7"
"Alaska","Unemployment Rate, SA","%","1994M6","7.7"
"Alaska","Unemployment Rate, SA","%","1994M7","7.6"
"Alaska","Unemployment Rate, SA","%","1994M8","7.5"
"Alaska","Unemployment Rate, SA","%","1994M9","7.4"
"Alaska","Unemployment Rate, SA","%","1994M10","7.4"
"Alaska","Unemployment Rate, SA","%","1994M11","7.4"
"Alaska","Unemployment Rate, SA","%","1994M12","7.3"
"Alaska","Unemployment Rate, SA","%","1995M1","7.3"
"Alaska","Unemployment Rate, SA","%","1995M2","7.2"
"Alaska","Unemployment Rate, SA","%","1995M3","7.2"
"Alaska","Unemployment Rate, SA","%","1995M4","7.1"
"Alaska","Unemployment Rate, SA","%","1995M5","7.1"
"Alaska","Unemployment Rate, SA","%","1995M6","7.2"
"Alaska","Unemployment Rate, SA","%","1995M7","7.2"
"Alaska","Unemployment Rate, SA","%","1995M8","7.3"
"Alaska","Unemployment Rate, SA","%","1995M9","7.4"
"Alaska","Unemployment Rate, SA","%","1995M10","7.5"
"Alaska","Unemployment Rate, SA","%","1995M11","7.6"
"Alaska","Unemployment Rate, SA","%","1995M12","7.7"
"Alaska","Unemployment Rate, SA","%","1996M1","7.7"
"Alaska","Unemployment Rate, SA","%","1996M2","7.7"
